70,San Francisco Caltrain (Townsend at 4th),26304
69,San Francisco Caltrain 2 (330 Townsend),21758
50,Harry Bridges Plaza (Ferry Building),17255
55,Temporary Transbay Terminal (Howard at Beale),14436
60,Embarcadero at Sansome,14158
61,2nd at Townsend,14026
65,Townsend at 7th,13752
74,Steuart at Market,13687
67,Market at 10th,11885
77,Market at Sansome,11431
